fgos_code,fgos_level,fgos_area_prefix,ps_area_code,ps_area_name,match_type,confidence
01.03.04,bachelor,01,01,Образование и наука,rule_based,high
01.03.04,bachelor,01,06,"Связь, информационные и коммуникационные технологии",rule_based,high
03.03.02,bachelor,03,01,Образование и наука,rule_based,high
03.03.02,bachelor,03,24,Атомная промышленность,rule_based,high
03.03.02,bachelor,03,29,"Производство электрооборудования, электронного и оптического оборудования",rule_based,high
09.03.01,bachelor,09,06,"Связь, информационные и коммуникационные технологии",rule_based,high
09.03.01,bachelor,09,40,Сквозные виды профессиональной деятельности,rule_based,high
09.03.02,bachelor,09,06,"Связь, информационные и коммуникационные технологии",rule_based,high
09.03.02,bachelor,09,40,Сквозные виды профессиональной деятельности,rule_based,high
09.04.01,master,09,06,"Связь, информационные и коммуникационные технологии",rule_based,high
09.04.01,master,09,40,Сквозные виды профессиональной деятельности,rule_based,high
09.04.03,master,09,06,"Связь, информационные и коммуникационные технологии",rule_based,high
09.04.03,master,09,40,Сквозные виды профессиональной деятельности,rule_based,high
20.04.01,master,20,18,"Добыча, переработка угля, руд и других полезных ископаемых",rule_based,high
20.04.01,master,20,19,"Добыча, переработка, транспортировка нефти и газа",rule_based,high
20.04.01,master,20,26,"Химическое, химико-технологическое производство",rule_based,high
21.05.04,specialist,21,18,"Добыча, переработка угля, руд и других полезных ископаемых",rule_based,high
21.05.04,specialist,21,19,"Добыча, переработка, транспортировка нефти и газа",rule_based,high
21.05.05,specialist,21,18,"Добыча, переработка угля, руд и других полезных ископаемых",rule_based,high
21.05.05,specialist,21,19,"Добыча, переработка, транспортировка нефти и газа",rule_based,high
22.04.02,master,22,27,Металлургическое производство,rule_based,high
27.04.02,master,27,40,Сквозные виды профессиональной деятельности,rule_based,high
27.04.02,master,27,28,Производство машин и оборудования,rule_based,high
28.03.01,bachelor,28,27,Металлургическое производство,rule_based,high
28.03.01,bachelor,28,29,"Производство электрооборудования, электронного и оптического оборудования",rule_based,high
28.03.01,bachelor,28,26,"Химическое, химико-технологическое производство",rule_based,high
28.03.03,bachelor,28,27,Металлургическое производство,rule_based,high
28.03.03,bachelor,28,29,"Производство электрооборудования, электронного и оптического оборудования",rule_based,high
28.03.03,bachelor,28,26,"Химическое, химико-технологическое производство",rule_based,high
28.04.01,master,28,27,Металлургическое производство,rule_based,high
28.04.01,master,28,29,"Производство электрооборудования, электронного и оптического оборудования",rule_based,high
28.04.01,master,28,26,"Химическое, химико-технологическое производство",rule_based,high
38.03.01,bachelor,38,08,Финансы и экономика,rule_based,high
38.03.01,bachelor,38,07,Административно-управленческая и офисная деятельность,rule_based,high
38.03.01,bachelor,38,40,Сквозные виды профессиональной деятельности,rule_based,high
38.03.02,bachelor,38,08,Финансы и экономика,rule_based,high
38.03.02,bachelor,38,07,Административно-управленческая и офисная деятельность,rule_based,high
38.03.02,bachelor,38,40,Сквозные виды профессиональной деятельности,rule_based,high
38.03.05,bachelor,38,08,Финансы и экономика,rule_based,high
38.03.05,bachelor,38,07,Административно-управленческая и офисная деятельность,rule_based,high
38.03.05,bachelor,38,40,Сквозные виды профессиональной деятельности,rule_based,high
38.04.02,master,38,08,Финансы и экономика,rule_based,high
38.04.02,master,38,07,Административно-управленческая и офисная деятельность,rule_based,high
38.04.02,master,38,40,Сквозные виды профессиональной деятельности,rule_based,high
38.04.05,master,38,08,Финансы и экономика,rule_based,high
38.04.05,master,38,07,Административно-управленческая и офисная деятельность,rule_based,high
38.04.05,master,38,40,Сквозные виды профессиональной деятельности,rule_based,high
45.04.02,master,45,01,Образование и наука,rule_based,high
45.04.02,master,45,11,"Средства массовой информации, издательство и полиграфия",rule_based,high
