uri,title,isco_group,isco_code,description,essential_skills,optional_skills,essential_skill_count,optional_skill_count
http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,software developer,Software developers,2512,"{'literal': 'Software developers implement or program all kinds of software systems based on specifications and designs by using programming languages, tools, and platforms.', 'mimetype': 'plain/text'}","engineering processes,create flowchart diagram,analyse software specifications,develop software prototype,develop automated migration methods,project management,technical drawings,tools for software configuration management,manage engineering project,engineering principles,use software libraries,interpret technical requirements,debug software,perform scientific research,computer programming,integrated development environment software,use software design patterns,utilise computer-aided software engineering tools,ICT debugging tools,use technical drawing software,identify customer requirements,define technical requirements,provide technical documentation","JavaScript,adapt to changes in technological development plans,use logic programming,Swift (computer programming),STAF,Java (computer programming),ASP.NET,integrate system components,Apache Maven,Eclipse (integrated development environment software),Puppet (tools for software configuration management),CoffeeScript,Jenkins (tools for software configuration management),Scala,Assembly (computer programming),use functional programming,Salt (tools for software configuration management),use object-oriented programming,Haskell,Erlang,World Wide Web Consortium standards,AJAX,R,OpenEdge Advanced Business Language,ABAP,Prolog (computer programming),migrate existing data,Perl,MATLAB,SAS language,C#,ML (computer programming),Ansible,C++,collect customer feedback on applications,use automatic programming,Xcode,Lisp,Internet of Things,TypeScript,Ruby (computer programming),Pascal (computer programming),develop creative ideas,use concurrent programming,Scratch (computer programming),PHP,utilise machine learning,Groovy,Visual Studio .NET,KDevelop,VBScript,design user interface,Objective-C,Common Lisp,Python (computer programming),Microsoft Visual C++,APL,ICT security legislation,SAP R3,Smalltalk (computer programming),software anomalies,COBOL,object-oriented modelling",23,63
http://data.europa.eu/esco/occupation/57af9090-55b4-4911-b2d0-86db01c00b02,embedded systems software developer,,,"{'literal': 'Embedded systems software developers program, implement, document and maintain software to be run on an embedded system.', 'mimetype': 'plain/text'}","tools for software configuration management,analyse software specifications,develop software prototype,Internet of Things,computer programming,ICT debugging tools,integrated development environment software,embedded systems,develop ICT device driver,interpret technical texts,use software design patterns,use software libraries,debug software,provide technical documentation,create flowchart diagram,utilise computer-aided software engineering tools","Common Lisp,Microsoft Visual C++,Scala,ML (computer programming),adapt to changes in technological development plans,Apache Maven,Haskell,design user interface,Eclipse (integrated development environment software),Puppet (tools for software configuration management),use concurrent programming,software anomalies,TypeScript,C++,ICT security legislation,Ansible,SAP R3,Ruby (computer programming),STAF,C#,JavaScript,Prolog (computer programming),Pascal (computer programming),use functional programming,R,collect customer feedback on applications,use logic programming,object-oriented modelling,develop creative ideas,Jenkins (tools for software configuration management),PHP,integrate system components,ABAP,VBScript,World Wide Web Consortium standards,use object-oriented programming,COBOL,Objective-C,Groovy,develop automated migration methods,Xcode,use automatic programming,Python (computer programming),Assembly (computer programming),Lisp,KDevelop,Salt (tools for software configuration management),AJAX,Scratch (computer programming),MATLAB,Java (computer programming),Perl,SAS language,APL,Swift (computer programming),OpenEdge Advanced Business Language,Visual Studio .NET,ASP.NET",16,58
http://data.europa.eu/esco/occupation/bb6198c4-1d3e-40b9-9cc4-ad2dd9d7c74b,industrial mobile devices software developer,Applications programmers,2514,"{'literal': 'Industrial mobile devices software developers implement applications software for specific, professional industrial mobile (handheld) devices, based on the industry needs, using general or specific development tools for device operating systems.', 'mimetype': 'plain/text'}","integrated development environment software,use software libraries,use software design patterns,computer programming,industrial software,debug software,design application interfaces,use different communication channels,ICT debugging tools,develop software prototype,Internet of Things,interpret technical texts,mobile operating systems,embedded systems,provide technical documentation,create flowchart diagram,tools for software configuration management,analyse software specifications,utilise computer-aided software engineering tools","BlackBerry,Pascal (computer programming),design user interface,Objective-C,ML (computer programming),Visual Studio .NET,Smalltalk (computer programming),JavaScript,CoffeeScript,Salt (tools for software configuration management),R,Swift (computer programming),SAP R3,Erlang,PHP,Lisp,AJAX,COBOL,C++,object-oriented modelling,Eclipse (integrated development environment software),use object-oriented programming,Python (computer programming),Apache Maven,SAS language,ASP.NET,Jenkins (tools for software configuration management),Android (mobile operating systems),OpenEdge Advanced Business Language,STAF,World Wide Web Consortium standards,adapt to changes in technological development plans,VBScript,ABAP,Perl,Ruby (computer programming),Haskell,Groovy,Common Lisp,MATLAB,use functional programming,identify customer requirements,iOS,C#,KDevelop,use concurrent programming,mobile device software frameworks,use logic programming,use automatic programming,collect customer feedback on applications,software anomalies,Prolog (computer programming),migrate existing data,Windows Phone,develop creative ideas,Microsoft Visual C++,TypeScript,APL,Scratch (computer programming),Puppet (tools for software configuration management),Java (computer programming),Xcode,integrate system components,Ansible,Assembly (computer programming),Scala,ICT security legislation",19,67
http://data.europa.eu/esco/occupation/bd272aee-adc9-4a06-a15c-a73b4b4a46a7,ICT application developer,Applications programmers,2514,"{'literal': 'ICT application developers implement the ICT (software) applications based on the designs provided using application domain specific languages, tools, platforms and experience.', 'mimetype': 'plain/text'}","provide technical documentation,analyse software specifications,develop software prototype,identify customer requirements,tools for software configuration management,integrated development environment software,service-oriented modelling,ICT debugging tools,computer programming,interpret technical texts,debug software,propose ICT solutions to business problems,use software design patterns,utilise computer-aided software engineering tools,develop automated migration methods,manage business knowledge,use software libraries,create flowchart diagram","Assembly (computer programming),Xcode,Ansible,Eclipse (integrated development environment software),develop creative ideas,Lisp,migrate existing data,Internet of Things,JavaScript,World Wide Web Consortium standards,Open source model,ML (computer programming),VBScript,Hybrid model,STAF,Ruby (computer programming),C#,COBOL,Swift (computer programming),use automatic programming,ICT security legislation,Java (computer programming),Outsourcing model,SAS language,C++,R,APL,use concurrent programming,use functional programming,Pascal (computer programming),integrate system components,Perl,software anomalies,TypeScript,Apache Maven,ABAP,Visual Studio .NET,Scratch (computer programming),Puppet (tools for software configuration management),PHP,use logic programming,OpenEdge Advanced Business Language,object-oriented modelling,design user interface,Objective-C,Python (computer programming),Salt (tools for software configuration management),MATLAB,Prolog (computer programming),SAP R3,use object-oriented programming,Scala,KDevelop,SaaS (service-oriented modelling),Common Lisp,AJAX,ASP.NET,adapt to changes in technological development plans,Groovy,Haskell,Jenkins (tools for software configuration management),Microsoft Visual C++,collect customer feedback on applications",18,63
http://data.europa.eu/esco/occupation/10469d70-78a3-4650-9e29-d04de13c62c1,embedded system designer,Systems analysts,2511,"{'literal': 'Embedded system designers translate and design requirements and the high-level plan or architecture of an embedded control system according to technical software specifications.', 'mimetype': 'plain/text'}","signal processing,analyse software specifications,interpret electronic design specifications,task algorithmisation,real-time computing,tools for software configuration management,define technical requirements,embedded systems,systems development life-cycle,ICT communications protocols,engineering control theory,create software design,develop creative ideas,provide ICT consulting advice,create flowchart diagram","network management system tools,computer programming,Microsoft Visual C++,software components libraries,ABAP,Apache Maven,Assembly (computer programming),collect customer feedback on applications,utilise computer-aided software engineering tools,Scratch (computer programming),tools for ICT test automation,Visual Studio .NET,SAS language,OpenEdge Advanced Business Language,MATLAB,CoffeeScript,Prolog (computer programming),APL,Groovy,TypeScript,Common Lisp,AJAX,C++,Python (computer programming),Salt (tools for software configuration management),COBOL,Lisp,provide technical documentation,build business relationships,C#,VBScript,ICT network simulation,Ansible,hardware architectures,ICT security standards,ML (computer programming),engineering processes,ICT system integration,PHP,field-programmable gate arrays,Ruby (computer programming),verify formal ICT specifications,Scala,Swift (computer programming),STAF,Erlang,Puppet (tools for software configuration management),ASP.NET,Objective-C,Java (computer programming),Pascal (computer programming),R,Haskell,SAP R3,Jenkins (tools for software configuration management),Perl,Smalltalk (computer programming),hardware components,JavaScript",15,59
http://data.europa.eu/esco/occupation/a7c1d23d-aeca-4bee-9a08-5993ed98b135,ICT system developer,Systems analysts,2511,"{'literal': 'ICT system developers maintain, audit and improve organisational support systems. They use existing or new technologies to meet particular needs. They test both hardware and software system components, diagnose and resolve system faults.', 'mimetype': 'plain/text'}","analyse software specifications,use software libraries,provide technical documentation,create flowchart diagram,ICT system integration,develop automated migration methods,ICT system programming,migrate existing data,use software design patterns,interpret technical texts,computer programming,develop software prototype,keep up with the latest information systems solutions,tools for software configuration management,ICT debugging tools,solve ICT system problems,debug software,integrated development environment software,collect customer feedback on applications","use functional programming,apply ICT systems theory,KDevelop,Salt (tools for software configuration management),Common Lisp,adapt to changes in technological development plans,Jenkins (tools for software configuration management),Swift (computer programming),TypeScript,Scala,Visual Studio .NET,Ruby (computer programming),software anomalies,use concurrent programming,Java (computer programming),develop creative ideas,SAP R3,integrate system components,JavaScript,Internet of Things,MATLAB,Assembly (computer programming),ICT security legislation,object-oriented modelling,Ansible,AJAX,monitor system performance,Groovy,Perl,Pascal (computer programming),utilise computer-aided software engineering tools,OpenEdge Advanced Business Language,Haskell,use object-oriented programming,use logic programming,C#,PHP,Python (computer programming),design user interface,Lisp,STAF,Xcode,COBOL,systems theory,Scratch (computer programming),ML (computer programming),C++,Eclipse (integrated development environment software),Apache Maven,R,use automatic programming,World Wide Web Consortium standards,VBScript,Puppet (tools for software configuration management),SAS language,Microsoft Visual C++,Objective-C,ASP.NET,Prolog (computer programming),APL",19,60
http://data.europa.eu/esco/occupation/24161923-e3e6-4096-b377-f1ee8a7ea31b,satellite engineer,,,"{'literal': 'Satellite engineers develop, test and oversee the manufacture of satellite systems and satellite programmes. They may also develop software programs, collect and research data, and test the satellite systems. Satellite engineers can also develop systems to command and control satellites. They monitor satellites for issues and report on the behaviour of the satellite in orbit.', 'mimetype': 'plain/text'}","troubleshoot,aerospace engineering,monitor satellites,production processes,engineering processes,perform scientific research,engineering principles,global navigation satellite system performance parameters,geostationary satellites,quality standards,launching of satellites into orbit,technical drawings,use technical drawing software,types of satellites,industrial engineering,unmanned air systems,approve engineering design,adjust engineering designs,manufacturing processes","design principles,execute feasibility study,oversee assembly operations,aerodynamics,CAE software,create a product's virtual model,guidance, navigation and control,manage product testing,defense system,mechanical engineering,record test data,research satellite launch sites,analyse production processes for improvement,apply advanced manufacturing,fluid mechanics,draft design specifications,material mechanics,build a product's physical model,develop test procedures,design prototypes,control production,conduct performance tests,materials science,use CAD software,use CAM software,synthetic natural environment,plan space satellite missions",19,27
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,Software developers,2512,"{'literal': 'Software analysts elicit and prioritise user requirements, produce and document software specifications, test their application, and review them during software development. They act as the interface between the software users and the software development team.', 'mimetype': 'plain/text'}","define technical requirements,manage ICT legacy implication,identify ICT user needs,ICT system user requirements,interact with users to gather requirements,business requirements techniques,software design methodologies,define software architecture,legal requirements of ICT products,analyse business processes,design information system,translate requirement concepts into visual design,create data models,execute feasibility study,create software design,software architecture models,data models,develop documentation in accordance with legal requirements,develop software prototype","Agile development,ICT project management,PHP,analyse ICT system,C++,Objective-C,Lisp,query languages,service-oriented modelling,DevOps,Scala,object-oriented modelling,ensure compliance with company regulations,solve ICT system problems,Rapid application development,create project specifications,Scratch (computer programming),Ruby (computer programming),OpenEdge Advanced Business Language,monitor system performance,SaaS (service-oriented modelling),Smalltalk (computer programming),Hybrid model,SPARQL,ABAP,Open source model,ICT problem management techniques,Assembly (computer programming),ASP.NET,Pascal (computer programming),ensure compliance with legal requirements,XQuery,create prototype of user experience solutions,SAS language,MDX,R,resource description framework query language,Perl,Visual Studio .NET,N1QL,Haskell,Spiral development,AJAX,CoffeeScript,levels of software testing,COBOL,SAP R3,ML (computer programming),LINQ,Incremental development,Agile project management,C#,Outsourcing model,identify ICT system weaknesses,Common Lisp,TypeScript,LDAP,Process-based management,Iterative development,Waterfall development,APL,Lean project management,JavaScript,unified modelling language,MATLAB,Java (computer programming),Swift (computer programming),VBScript,ICT project management methodologies,Prototyping development,Groovy,manage ICT project,Erlang,computer programming,Prolog (computer programming),Python (computer programming),provide ICT consulting advice,manage system testing",19,78
http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c,user interface developer,Software developers,2512,"{'literal': 'User interface developers implement, code, document and maintain the interface of a software system by using front-end development technologies.', 'mimetype': 'plain/text'}","design graphics,interpret technical texts,use software libraries,graphics editor software,use software design patterns,draw design sketches,develop software prototype,utilise methodologies for user centered design,analyse software specifications,design user interface,style sheet languages,integrated development environment software,web programming,computer programming,World Wide Web Consortium standards,software UI design patterns","GIMP (graphics editor software),C#,KDevelop,Scala,use markup languages,Scratch (computer programming),Ansible,COBOL,Visual Studio .NET,SAP R3,Adobe Photoshop,Lisp,C++,OpenEdge Advanced Business Language,Xcode,SAS language,Vagrant,software interaction design,use automatic programming,Ruby (computer programming),VBScript,Adobe Illustrator,PHP,create flowchart diagram,utilise computer-aided software engineering tools,SketchBook Pro,ASP.NET,Smalltalk (computer programming),use object-oriented programming,MATLAB,APL,JSSS,use functional programming,Salt (tools for software configuration management),ICT debugging tools,ABAP,Groovy,Eclipse (integrated development environment software),CoffeeScript,Assembly (computer programming),CSS,TypeScript,provide technical documentation,Sass,Jenkins (tools for software configuration management),R,Swift (computer programming),Apache Maven,tools for software configuration management,Synfig,debug software,use concurrent programming,Puppet (tools for software configuration management),Perl,ML (computer programming),Microsoft Visio,Haskell,Objective-C,LESS,JavaScript,Erlang,Prolog (computer programming),Pascal (computer programming),AJAX,Python (computer programming),use scripting programming,Common Lisp,use logic programming,STAF,human-computer interaction,Microsoft Visual C++,ICT project management,Java (computer programming)",16,73
http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d,web developer,Web and multimedia developers,2513,"{'literal': ""Web developers develop, implement and document web-accessible software based on the designs provided. They align the client's web presence with its business strategy, troubleshoot software problems and issues and look for ways to improve the application."", 'mimetype': 'plain/text'}","World Wide Web Consortium standards,collect customer feedback on applications,web programming,translate requirement concepts into visual design,integrated development environment software,content development processes,tools for software configuration management,create flowchart diagram,use software design patterns,provide technical documentation,interpret technical texts,ICT debugging tools,computer programming,implement front-end website design,style sheet languages,analyse software specifications,use markup languages,develop software prototype,debug software,use software libraries","Salt (tools for software configuration management),C#,Jenkins (tools for software configuration management),adapt to changes in technological development plans,Prolog (computer programming),COBOL,VBScript,Ruby (computer programming),OpenEdge Advanced Business Language,CoffeeScript,software anomalies,ML (computer programming),Java (computer programming),Apache Maven,web application security threats,Sass,LESS,Smalltalk (computer programming),Objective-C,Scala,migrate existing data,Haskell,SAP R3,R,Pascal (computer programming),use object-oriented programming,ASP.NET,Eclipse (integrated development environment software),PHP,Perl,MATLAB,Common Lisp,JavaScript,use logic programming,Groovy,Puppet (tools for software configuration management),object-oriented modelling,compose description for web elements,Scratch (computer programming),APL,use functional programming,C++,CSS,ABAP,SAS language,Lisp,use automatic programming,use concurrent programming,TypeScript,develop creative ideas,JSSS,Assembly (computer programming),Ansible,Xcode,Microsoft Visual C++,KDevelop,Python (computer programming),conduct content quality assurance,Erlang,design user interface,AJAX,Visual Studio .NET,STAF,utilise computer-aided software engineering tools,Swift (computer programming),ICT security legislation",20,66
