uri,title,skill_type,reuse_level,occupation_count
http://data.europa.eu/esco/skill/4fabca9a-7435-4f33-b1da-3cdb00340fdc,perform scientific research,http://data.europa.eu/esco/skill-type/skill,essential,65
http://data.europa.eu/esco/skill/209a5498-3449-4689-8ed9-bd08cab4fd78,engineering principles,http://data.europa.eu/esco/skill-type/knowledge,essential,54
http://data.europa.eu/esco/skill/42b23922-1c40-4dbe-9e0c-7a568dfdf06b,adjust engineering designs,http://data.europa.eu/esco/skill-type/skill,essential,50
http://data.europa.eu/esco/skill/541561bc-510c-4a99-881c-2d8bf5a85462,use technical drawing software,http://data.europa.eu/esco/skill-type/skill,essential,49
http://data.europa.eu/esco/skill/72a74f69-5cf1-43c5-99b9-62a444578919,engineering processes,http://data.europa.eu/esco/skill-type/knowledge,essential,46
http://data.europa.eu/esco/skill/f54c10e4-630d-4e50-95e9-4e9e268e8f12,approve engineering design,http://data.europa.eu/esco/skill-type/skill,essential,40
http://data.europa.eu/esco/skill/4339176e-3acd-4f7f-a5d9-445bee3d23f2,mathematics,http://data.europa.eu/esco/skill-type/knowledge,essential,40
http://data.europa.eu/esco/skill/59ea80e1-463a-4dba-82c6-d0b6d577d532,technical drawings,http://data.europa.eu/esco/skill-type/knowledge,essential,36
http://data.europa.eu/esco/skill/328733a7-6d84-420d-a65c-2a8014fadc60,record test data,http://data.europa.eu/esco/skill-type/skill,essential,33
http://data.europa.eu/esco/skill/b34e2ba1-9080-48c9-9b42-ee9192a4d3f1,use CAD software,http://data.europa.eu/esco/skill-type/skill,essential,33
http://data.europa.eu/esco/skill/9c071f1d-eac3-449d-b004-c14775b5a3b9,mechanical engineering,http://data.europa.eu/esco/skill-type/knowledge,essential,32
http://data.europa.eu/esco/skill/3e40c7d0-0e36-4b33-bc33-0aa87eda0561,electrical engineering,http://data.europa.eu/esco/skill-type/knowledge,essential,28
http://data.europa.eu/esco/skill/04dfd9fb-e0cf-40f6-96c6-9d2280c4347e,provide technical documentation,http://data.europa.eu/esco/skill-type/skill,essential,27
http://data.europa.eu/esco/skill/334e3e49-fb02-4051-809a-f06adfdc1c40,troubleshoot,http://data.europa.eu/esco/skill-type/skill,essential,27
http://data.europa.eu/esco/skill/692ace70-7f97-4214-92bd-88f7637d8a44,physics,http://data.europa.eu/esco/skill-type/knowledge,essential,27
http://data.europa.eu/esco/skill/c8ac1986-38fa-43b2-89dc-50a4beeb420e,electricity,http://data.europa.eu/esco/skill-type/knowledge,essential,26
http://data.europa.eu/esco/skill/8d4271ca-c9fd-40b3-875f-15f78332a49e,quality standards,http://data.europa.eu/esco/skill-type/knowledge,essential,25
http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68,perform project management,http://data.europa.eu/esco/skill-type/skill,essential,25
http://data.europa.eu/esco/skill/3c333552-8d89-43f5-90bd-856e15bec433,design drawings,http://data.europa.eu/esco/skill-type/knowledge,essential,24
http://data.europa.eu/esco/skill/1007aa13-9f18-4bcf-96f3-e108c40baf69,use a computer,http://data.europa.eu/esco/skill-type/skill,essential,23
http://data.europa.eu/esco/skill/233be639-bdb5-4099-ab40-96d537d6c1f3,ensure compliance with safety legislation,http://data.europa.eu/esco/skill-type/skill,essential,23
http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08,electronics,http://data.europa.eu/esco/skill-type/knowledge,essential,23
http://data.europa.eu/esco/skill/ed3f3dba-3a35-4ed5-b113-67f4d10ef4c8,scientific research methodology,http://data.europa.eu/esco/skill-type/knowledge,essential,22
http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,ensure compliance with environmental legislation,http://data.europa.eu/esco/skill-type/skill,essential,22
http://data.europa.eu/esco/skill/a2b5dcf3-5b6a-453d-876c-cff540c0faf1,CAD software,http://data.europa.eu/esco/skill-type/knowledge,essential,22
http://data.europa.eu/esco/skill/3786b61f-f22e-48d1-af8d-ad4c354534db,manufacturing processes,http://data.europa.eu/esco/skill-type/knowledge,essential,21
http://data.europa.eu/esco/skill/efa141df-f382-418f-9121-bd88fd735669,mechanics,http://data.europa.eu/esco/skill-type/knowledge,essential,21
http://data.europa.eu/esco/skill/c32ad607-0c4d-4e34-b73f-668298f7bf13,apply technical communication skills,http://data.europa.eu/esco/skill-type/skill,essential,20
http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,http://data.europa.eu/esco/skill-type/knowledge,optional,19
http://data.europa.eu/esco/skill/31c69100-b612-4a61-8db5-fd314318854c,execute analytical mathematical calculations,http://data.europa.eu/esco/skill-type/skill,essential,19
http://data.europa.eu/esco/skill/b07daddc-8625-4360-946e-ad2b0e56ebf6,read engineering drawings,http://data.europa.eu/esco/skill-type/skill,essential,19
http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript,http://data.europa.eu/esco/skill-type/knowledge,optional,18
http://data.europa.eu/esco/skill/b4dc6e4f-dc7d-445f-8ce2-d7b9d225e282,AJAX,http://data.europa.eu/esco/skill-type/knowledge,optional,18
http://data.europa.eu/esco/skill/4350c38d-0fe9-4ca7-bab9-40ed7f72b04f,PHP,http://data.europa.eu/esco/skill-type/knowledge,optional,18
http://data.europa.eu/esco/skill/bacbfc27-4b5d-47de-8bfd-af5fa27562a2,design prototypes,http://data.europa.eu/esco/skill-type/skill,essential,18
http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,create solutions to problems,http://data.europa.eu/esco/skill-type/skill,essential,18
http://data.europa.eu/esco/skill/cde9911c-f92e-4de1-811f-336e177ac4ce,chemistry,http://data.europa.eu/esco/skill-type/knowledge,essential,18
http://data.europa.eu/esco/skill/81a2db2c-7e55-44d0-9cd9-74c25147d7cd,analyse test data,http://data.europa.eu/esco/skill-type/skill,essential,18
http://data.europa.eu/esco/skill/465ff64a-1271-4064-8ed1-e969cb68d8b4,perform test run,http://data.europa.eu/esco/skill-type/skill,essential,18
http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,project management,http://data.europa.eu/esco/skill-type/knowledge,essential,17
http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,http://data.europa.eu/esco/skill-type/knowledge,essential,17
http://data.europa.eu/esco/skill/b9f16465-56a9-426b-a047-0f9f1f95ec92,address problems critically,http://data.europa.eu/esco/skill-type/skill,essential,17
http://data.europa.eu/esco/skill/6f5850ea-5785-4e2c-b062-743066fd5bdb,environmental legislation,http://data.europa.eu/esco/skill-type/knowledge,essential,17
http://data.europa.eu/esco/skill/be80acfc-b6f2-4411-9b8d-b19d9cd2556a,Swift (computer programming),http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java (computer programming),http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/56a7f561-1d55-43c9-9cd7-36a0a9bc6c50,ASP.NET,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/ffddfc7c-a9dd-449f-9e96-882dc447c8b6,Scala,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/47b9bbcf-356c-4782-83a4-7f5a1b2b51a3,Assembly (computer programming),http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b,R,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/300d432b-f457-4cd3-9cb1-1858c7d14954,OpenEdge Advanced Business Language,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/2bde42ae-e776-41c1-9ded-b07b30bfe985,Prolog (computer programming),http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/c3a03c5a-c260-4c26-9b9a-873abb396f4d,MATLAB,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a,C#,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/a4d336a6-9ffd-402a-91cc-f359716ba4e0,ML (computer programming),http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f,C++,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/0de61385-de6d-4146-ba32-1cc1bc102220,Lisp,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68,TypeScript,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby (computer programming),http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/e8b89eb6-51e8-4c3a-babb-88b2e110376b,Pascal (computer programming),http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/d56fc2b5-4b0a-4e7e-9bde-a33736f6ff18,Scratch (computer programming),http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/52cf3037-ab53-4806-85ed-7fd21ea7f6a1,Groovy,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,Visual Studio .NET,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/dcdd5ddf-82a6-4ac3-8edc-d4b23cae9a88,VBScript,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/9973a5a2-7822-4161-99e9-95c781eb63f8,Objective-C,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871,Common Lisp,http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python (computer programming),http://data.europa.eu/esco/skill-type/knowledge,optional,16
http://data.europa.eu/esco/skill/58d7a289-dafd-4363-833f-d1dc4140885e,APL,http://data.europa.eu/esco/skill-type/knowledge,optional,16
