skill_name,vacancy_count,avg_salary_from,avg_salary_to,salary_currency,search_query
Python,225,182786,226207,RUR,"DevOps,data scientist,machine learning инженер,аддитивные технологии,горное дело,информатика и вычислительная техника,нанотехнологии,электроника"
Linux,163,154938,195638,RUR,"DevOps,data scientist,machine learning инженер,горное дело,информатика и вычислительная техника,материаловедение,нанотехнологии,электроника"
Docker,142,156865,213964,RUR,"DevOps,data scientist,machine learning инженер,горное дело,информатика и вычислительная техника,нанотехнологии,электроника"
Kubernetes,122,184712,257000,RUR,"DevOps,machine learning инженер,информатика и вычислительная техника"
SQL,100,200561,221383,RUR,"DevOps,data scientist,machine learning инженер,информатика и вычислительная техника,нанотехнологии"
DevOps,87,160880,225524,RUR,"DevOps,информатика и вычислительная техника"
Точность и внимательность к деталям,86,88747,114713,RUR,"data scientist,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Умение работать в коллективе,86,104710,144848,RUR,"data scientist,machine learning инженер,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,нанотехнологии,экология промышленная,электроника,энергетика"
PostgreSQL,86,179798,276500,RUR,"DevOps,data scientist,machine learning инженер,информатика и вычислительная техника,нанотехнологии"
Организаторские навыки,80,116812,139909,RUR,"data scientist,machine learning инженер,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
CI/CD,77,151806,197938,RUR,"DevOps,data scientist,machine learning инженер,информатика и вычислительная техника"
Ansible,73,190925,259000,RUR,DevOps
Техническая документация,72,106334,159476,RUR,"machine learning инженер,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Охрана труда и техника безопасности,70,128206,150261,RUR,"горное дело,материаловедение,экология промышленная,энергетика"
Git,70,146035,195625,RUR,"DevOps,data scientist,machine learning инженер,информатика и вычислительная техника,нанотехнологии,электроника"
Деловая переписка,68,99374,140255,RUR,"аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Техническое обслуживание,67,112618,123145,RUR,"аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Работа с большим объемом информации,66,96488,128095,RUR,"data scientist,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,нанотехнологии,экология промышленная,электроника,энергетика"
Экологическая безопасность,65,85875,119595,RUR,экология промышленная
Активные продажи,64,94911,185185,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,экология промышленная,электроника"
Пользователь ПК,62,95571,121083,RUR,"DevOps,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,нанотехнологии,экология промышленная,электроника,энергетика"
Деловое общение,59,99575,155481,RUR,"DevOps,machine learning инженер,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Заключение договоров,59,106574,171146,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Bash,58,137826,176467,RUR,"DevOps,machine learning инженер,горное дело,информатика и вычислительная техника,электроника"
Работа в команде,52,91717,129111,RUR,"DevOps,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Обучение и развитие,51,82249,108247,RUR,"DevOps,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Техническая эксплуатация,51,115167,124875,RUR,"горное дело,информатика и вычислительная техника,материаловедение,экология промышленная,электроника,энергетика"
Энергетика,51,134710,153920,RUR,"аддитивные технологии,материаловедение,электроника,энергетика"
Контроль исправности оборудования,49,110684,120854,RUR,"аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Prometheus,48,191423,280308,RUR,"DevOps,machine learning инженер,горное дело"
Контроль качества,46,93897,139816,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,нанотехнологии,экология промышленная,электроника,энергетика"
Grafana,46,192917,255556,RUR,"DevOps,data scientist,machine learning инженер,горное дело"
PyTorch,45,178269,255250,RUR,"data scientist,machine learning инженер,нанотехнологии,электроника"
ML,45,242500,239000,RUR,"data scientist,machine learning инженер"
Чтение чертежей,44,117275,148959,RUR,"аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,электроника"
Ведение документации,44,124568,166399,RUR,"горное дело,информатика и вычислительная техника,материаловедение,экология промышленная,электроника,энергетика"
AutoCAD,44,103857,126108,RUR,"аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Деловая коммуникация,43,122450,233811,RUR,"DevOps,data scientist,machine learning инженер,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника"
SolidWorks,42,120685,172000,RUR,"аддитивные технологии,материаловедение,металлургия,электроника"
Компас-3D,42,105839,126800,RUR,"аддитивные технологии,материаловедение,металлургия,экология промышленная,электроника"
Руководство коллективом,42,144091,221186,RUR,"machine learning инженер,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Поиск и привлечение клиентов,41,106618,219375,RUR,"аддитивные технологии,материаловедение,металлургия,экология промышленная,электроника"
Схемотехника электронного оборудования,41,128394,169133,RUR,"аддитивные технологии,материаловедение,электроника,энергетика"
Terraform,41,211000,234500,RUR,"DevOps,machine learning инженер"
Разработка технической документации,40,114038,122933,RUR,"аддитивные технологии,информатика и вычислительная техника,материаловедение,металлургия,нанотехнологии,электроника,энергетика"
Электротехнические работы,40,125158,130000,RUR,"аддитивные технологии,горное дело,металлургия,электроника,энергетика"
Промышленная безопасность,40,107926,98583,RUR,"горное дело,экология промышленная,энергетика"
Проектная документация,39,127643,156273,RUR,"горное дело,материаловедение,металлургия,экология промышленная,энергетика"
Телефонные переговоры,39,117829,235263,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Производственный контроль,39,126680,139475,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,экология промышленная,энергетика"
Ремонтные работы,38,106200,131948,RUR,"аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Инженерные системы,37,129143,138571,RUR,"горное дело,информатика и вычислительная техника,экология промышленная,электроника,энергетика"
Разработка технических заданий,36,113350,116940,RUR,"DevOps,аддитивные технологии,информатика и вычислительная техника,материаловедение,металлургия,нанотехнологии,экология промышленная,электроника,энергетика"
Zabbix,36,150814,275500,RUR,"DevOps,горное дело,информатика и вычислительная техника"
Английский язык,35,138644,241717,RUR,"DevOps,data scientist,machine learning инженер,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,электроника,энергетика"
Охрана труда,35,98405,102970,RUR,"горное дело,экология промышленная,энергетика"
Технический контроль производства,34,127491,158527,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,нанотехнологии,экология промышленная,электроника,энергетика"
Ответственность,34,88626,107941,RUR,"DevOps,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Холодные продажи,34,102167,233000,RUR,"аддитивные технологии,материаловедение,металлургия,экология промышленная,электроника"
Gitlab,34,235625,287333,RUR,"DevOps,информатика и вычислительная техника,электроника"
ЕСКД,33,114065,150417,RUR,"аддитивные технологии,информатика и вычислительная техника,материаловедение,металлургия,электроника"
B2B Продажи,33,129998,296154,RUR,"аддитивные технологии,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Материаловедение,32,103529,108561,RUR,"материаловедение,металлургия"
Взаимодействие с контрольными органами,32,98639,121955,RUR,"горное дело,материаловедение,экология промышленная,энергетика"
Диагностика неисправностей,32,109833,131647,RUR,"информатика и вычислительная техника,материаловедение,электроника,энергетика"
Автоматизация технологических процессов,31,129200,149362,RUR,"информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Прямые продажи,31,74107,133947,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Навыки продаж,31,69556,93237,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,экология промышленная,электроника"
Чтение электросхем,30,121579,149769,RUR,"материаловедение,электроника,энергетика"
Консультирование клиентов,29,105880,197735,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Numpy,29,202143,250000,RUR,"data scientist,machine learning инженер,нанотехнологии"
pandas,29,221429,251667,RUR,"data scientist,machine learning инженер"
Развитие продаж,28,93043,181154,RUR,"аддитивные технологии,материаловедение,металлургия,экология промышленная,электроника"
Навыки составления отчетности,28,115956,137300,RUR,"аддитивные технологии,горное дело,металлургия,экология промышленная,электроника,энергетика"
Nginx,28,159905,259333,RUR,DevOps
Аналитическое мышление,27,121214,159250,RUR,"DevOps,data scientist,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника"
GitLab CI,27,225850,259000,RUR,"DevOps,нанотехнологии"
Администрирование серверов Linux,27,136111,201077,RUR,"DevOps,machine learning инженер,аддитивные технологии,информатика и вычислительная техника"
Разработка инструкций,26,90670,110800,RUR,"информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Обеспечение техники безопасности,26,132270,144295,RUR,"горное дело,экология промышленная,энергетика"
MySQL,26,164704,315000,RUR,"DevOps,data scientist,machine learning инженер,горное дело,информатика и вычислительная техника"
Машинное обучение,25,218000,215000,RUR,"data scientist,machine learning инженер,информатика и вычислительная техника"
Clickhouse,25,187318,410000,RUR,"DevOps,data scientist,machine learning инженер,информатика и вычислительная техника"
Jenkins,25,117500,180000,RUR,DevOps
Грамотная речь,24,77267,138728,RUR,"аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,нанотехнологии,экология промышленная,электроника,энергетика"
Machine Learning,24,203143,289000,RUR,"data scientist,machine learning инженер"
Ведение переговоров,23,118826,251500,RUR,"аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Подготовка коммерческих предложений,23,120300,272500,RUR,"аддитивные технологии,материаловедение,металлургия,экология промышленная,электроника"
Big Data,23,184000,205000,RUR,"DevOps,data scientist,machine learning инженер,информатика и вычислительная техника"
LLM,23,205000,270000,RUR,"data scientist,machine learning инженер"
3D Моделирование,22,108812,147414,RUR,"аддитивные технологии,материаловедение,металлургия,электроника"
Технологии металлургии,22,104915,174414,RUR,"аддитивные технологии,материаловедение,металлургия"
Deep Learning,22,201429,277000,RUR,"data scientist,machine learning инженер,нанотехнологии"
Пожарная безопасность,22,99822,86617,RUR,"экология промышленная,энергетика"
Обучение персонала,21,110777,158360,RUR,"DevOps,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника"
Разработка проектной документации,21,96558,125843,RUR,"аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,экология промышленная,электроника"
Информационные технологии,21,103385,111000,RUR,"DevOps,горное дело,информатика и вычислительная техника"
Документальное сопровождение,20,133254,212686,RUR,"аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Строительство,20,135125,173800,RUR,"горное дело,материаловедение,металлургия,экология промышленная,энергетика"
Компас 3D,20,123500,163333,RUR,"аддитивные технологии,информатика и вычислительная техника,материаловедение,металлургия,электроника"
Управление проектами,20,119500,178667,RUR,"data scientist,machine learning инженер,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,энергетика"
оформление документации,20,113544,94140,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Электрические сети,20,120536,135000,RUR,"горное дело,электроника,энергетика"
Чтение электрических схем,20,129812,136400,RUR,"аддитивные технологии,электроника"
NLP,20,300000,270000,RUR,"data scientist,machine learning инженер"
Химические методы анализа,19,148171,238929,RUR,"материаловедение,нанотехнологии,экология промышленная"
Коммуникабельность,19,97615,111500,RUR,"DevOps,data scientist,machine learning инженер,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная"
Нормативно-техническая документация,19,141792,142100,RUR,"горное дело,материаловедение,экология промышленная,электроника,энергетика"
Управление командой,19,131873,200800,RUR,"machine learning инженер,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,нанотехнологии,экология промышленная,электроника,энергетика"
Altium Designer,19,137773,145000,RUR,"информатика и вычислительная техника,электроника"
TensorFlow,19,196875,261000,RUR,"data scientist,machine learning инженер"
Технологии машиностроения и приборостроения,18,101538,146250,RUR,"аддитивные технологии,материаловедение,металлургия"
Монтаж оборудования,18,95071,102429,RUR,"аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
MS Office,18,113335,172333,RUR,"аддитивные технологии,материаловедение,металлургия,экология промышленная"
Пуско-наладочные работы,18,101667,136000,RUR,"machine learning инженер,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,электроника,энергетика"
Ориентация на клиента,18,60000,70714,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,электроника"
Внимательность,18,77917,113571,RUR,"DevOps,аддитивные технологии,информатика и вычислительная техника,материаловедение,металлургия,нанотехнологии,экология промышленная,электроника,энергетика"
Анализ данных,18,143200,206000,RUR,"data scientist,machine learning инженер,горное дело,информатика и вычислительная техника,материаловедение"
MS SQL,18,103750,98000,RUR,"DevOps,data scientist,информатика и вычислительная техника"
Управление производством,17,137900,200000,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия,нанотехнологии,энергетика"
Работа с документами,17,76264,88557,RUR,"горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная"
Взаимодействие с надзорными организациями,17,114199,163000,RUR,"горное дело,материаловедение,экология промышленная,энергетика"
RabbitMQ,17,117250,229000,RUR,"DevOps,информатика и вычислительная техника,нанотехнологии"
Информационная безопасность,17,150343,180247,RUR,"DevOps,информатика и вычислительная техника"
CatBoost,17,233333,375000,RUR,"data scientist,machine learning инженер"
Техническое обслуживание оборудования,16,111091,106167,RUR,"аддитивные технологии,материаловедение,экология промышленная,электроника,энергетика"
охрана окружающей среды,16,100056,140414,RUR,экология промышленная
Data Science,16,217500,258333,RUR,"data scientist,machine learning инженер"
PySpark,16,350000,,RUR,"data scientist,machine learning инженер"
Разработка нового продукта,15,293333,535000,RUR,"материаловедение,нанотехнологии,электроника"
Ремонт оборудования,15,114091,190000,RUR,"горное дело,материаловедение,металлургия,электроника,энергетика"
MS Excel,15,123500,265200,RUR,"data scientist,machine learning инженер,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Взаимодействие с государственными контролирующими органами,15,91728,67418,RUR,"горное дело,информатика и вычислительная техника,экология промышленная"
Kafka,15,170000,278500,RUR,DevOps
Hadoop,15,325000,,RUR,"DevOps,data scientist,machine learning инженер"
IT,15,,,,"data scientist,machine learning инженер"
Организация учебного процесса,14,68400,,RUR,"аддитивные технологии,информатика и вычислительная техника,материаловедение,электроника"
Solid Works,14,126136,175000,RUR,"аддитивные технологии,информатика и вычислительная техника,материаловедение,металлургия"
Умение работать в команде,14,83545,86138,RUR,"DevOps,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,электроника,энергетика"
Станки ЧПУ,14,89583,145650,RUR,"материаловедение,металлургия,электроника"
Ориентация на результат,14,125167,190953,RUR,"DevOps,горное дело,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Работа с базами данных,14,86580,164286,RUR,"DevOps,data scientist,горное дело,информатика и вычислительная техника,металлургия,экология промышленная"
Redis,14,150000,216667,RUR,"DevOps,data scientist,machine learning инженер,нанотехнологии"
