vacancy_id,name,salary_from,salary_to,salary_currency,experience,schedule,employment,area,employer_name,professional_roles,key_skills,published_at,url,search_query
129789501,Ведущий инженер (материаловедение),180000,180000,RUR,between1And3,fullDay,full,Москва,НПЦАП (Научно-производственный центр автоматики и приборостроения имени академика Н. А. Пилюгина),Другое,,2026-01-23T10:59:18+0300,https://hh.ru/vacancy/129789501,материаловедение
130052596,"Научный сотрудник / Инженер / Руководитель (химия, полимеры, материаловедение и новые материалы)",500000,900000,RUR,between3And6,fullDay,full,Москва,ТехноВек,"Научный специалист, исследователь","Химические методы анализа,Английский язык,Аналитические исследования,Работа с большим объемом информации,Разработка нового продукта,Научные исследования",2026-01-30T16:18:02+0300,https://hh.ru/vacancy/130052596,материаловедение
129995754,Доцент/Профессор/Преподаватель по направлению материаловедение и технологии материалов,110000,,RUR,between3And6,fullDay,full,Москва,РТУ МИРЭА,"Учитель, преподаватель, педагог","Организация учебного процесса,Навыки межличностного общения",2026-01-29T11:37:45+0300,https://hh.ru/vacancy/129995754,материаловедение
129928724,Автор студенческих работ (Материаловедение и технологии материалов),50000,100000,RUR,noExperience,remote,part,Москва,Студсервис,Технолог,"Грамотная речь,Пользователь ПК,Деловое общение,Работа с большим объемом информации,Написание научных текстов,Написание научных статей,Деловая переписка,Поиск информации в интернет",2026-01-27T16:23:06+0300,https://hh.ru/vacancy/129928724,материаловедение
128935929,"Инженер-технолог (ОГМЕТ, группа материаловедения)",70000,70000,RUR,between1And3,fullDay,full,Челябинск,Моторный завод (ООО ЧТЗ-УРАЛТРАК),Технолог,,2026-01-15T06:40:24+0300,https://hh.ru/vacancy/128935929,материаловедение
130302626,Электрогазосварщик,,80594,RUR,between1And3,fullDay,full,Иркутск,ВСТК,Сварщик,"Чтение чертежей,Сварочные работы,Газовая сварка,Ручная дуговая сварка,Материаловедение,Сварка трубопроводов",2026-02-10T05:58:56+0300,https://hh.ru/vacancy/130302626,материаловедение
125519223,Инженер по текстильному направлению,120000,,RUR,between1And3,fullDay,full,Красногорск (Московская область),Техноавиа,Инженер по качеству,,2026-02-10T00:10:46+0300,https://hh.ru/vacancy/125519223,материаловедение
130278133,Инженер-технолог по термической обработке,85000,85000,RUR,noExperience,fullDay,full,Челябинск,СКБ Турбина,Технолог,"Документальное сопровождение,Компас,Ведение документации",2026-02-09T11:38:21+0300,https://hh.ru/vacancy/130278133,материаловедение
130289653,Инженер-конструктор,90000,,RUR,noExperience,fullDay,full,Йошкар-Ола,Иванов Юрий Серафимович,"Инженер-конструктор, инженер-проектировщик",SolidWorks,2026-02-09T15:03:13+0300,https://hh.ru/vacancy/130289653,материаловедение
130126895,Фрезеровщик,70000,90000,RUR,between3And6,fullDay,full,Стерлитамак,INIX Group,"Токарь, фрезеровщик, шлифовщик","Точность и внимательность к деталям,Чтение чертежей,Контроль качества,Работа на производстве,Слесарные работы,Работа с чертежами,Деловое общение",2026-02-09T13:03:40+0300,https://hh.ru/vacancy/130126895,материаловедение
129371027,Оператор станков с ЧПУ/стажер (Металлообработка),80000,130000,RUR,noExperience,shift,full,Москва,Мехдеталь,Оператор станков с ЧПУ,"Работа в команде,Контроль качества,Чтение чертежей",2026-02-09T15:28:15+0300,https://hh.ru/vacancy/129371027,материаловедение
130285724,Технолог по сварке,121000,183000,RUR,between3And6,flyInFlyOut,full,Чехов (Московская область),Гидростальконструкция,Сварщик,"Чтение чертежей,Сварочные работы,Проверка исправности сварочного оборудования,Монтаж металлоконструкций,Преднагрев металла,Полуавтоматическая сварка,Проверка наличия заземления,Строительство,Умение работать в коллективе,Точность и внимательность к деталям,Ведение документации,Технический контроль производства,Проектная документация",2026-02-09T13:50:11+0300,https://hh.ru/vacancy/130285724,материаловедение
130285725,Технолого по сварке,121000,183000,RUR,between3And6,flyInFlyOut,full,Нижний Новгород,Гидростальконструкция,Сварщик,"Чтение чертежей,Сварочные работы,Проверка исправности сварочного оборудования,Монтаж металлоконструкций,Преднагрев металла,Полуавтоматическая сварка,Проверка наличия заземления,Строительство,Умение работать в коллективе,Точность и внимательность к деталям,Ведение документации,Технический контроль производства,Проектная документация",2026-02-09T13:50:11+0300,https://hh.ru/vacancy/130285725,материаловедение
130285726,Технолого по сварке,121000,183000,RUR,between3And6,flyInFlyOut,full,Москва,Гидростальконструкция,Сварщик,"Чтение чертежей,Сварочные работы,Проверка исправности сварочного оборудования,Монтаж металлоконструкций,Преднагрев металла,Полуавтоматическая сварка,Проверка наличия заземления,Строительство,Умение работать в коллективе,Точность и внимательность к деталям,Ведение документации,Технический контроль производства,Проектная документация",2026-02-09T13:50:11+0300,https://hh.ru/vacancy/130285726,материаловедение
129703603,Электрогазосварщик,90000,,RUR,between3And6,flyInFlyOut,full,Солнечногорск (Московская область),СтройДорСервис,Сварщик,"Полуавтоматическая сварка,ЕСТД,Материаловедение,Сварка алюминия,Сварка нержавеющей стали",2026-02-08T12:21:34+0300,https://hh.ru/vacancy/129703603,материаловедение
129703488,Электросварщик,90000,,RUR,between3And6,flyInFlyOut,full,Солнечногорск (Московская область),СтройДорСервис,Сварщик,"Полуавтоматическая сварка,ЕСТД,Материаловедение,Сварка алюминия,Сварка нержавеющей стали",2026-02-08T12:20:28+0300,https://hh.ru/vacancy/129703488,материаловедение
129703125,Электросварщик,90000,,RUR,between3And6,flyInFlyOut,full,Дубна (Московская область),СтройДорСервис,Сварщик,"Полуавтоматическая сварка,ЕСТД,Материаловедение,Сварка алюминия,Сварка нержавеющей стали",2026-02-08T12:16:48+0300,https://hh.ru/vacancy/129703125,материаловедение
130271485,Ведущий инженер-технолог по термообработке,,,,between1And3,fullDay,full,Набережные Челны,НЧТЗ,Технолог,,2026-02-09T09:50:30+0300,https://hh.ru/vacancy/130271485,материаловедение
130297390,Заместитель директора магазина,87000,,RUR,between1And3,shift,full,Москва,"Монетка, Торговая сеть","Администратор магазина, администратор торгового зала","Отчеты по товарам,Акты списания товаров,Приемка товара,Учет товаров,Выкладка товара,Проведение инвентаризаций,Обучение персонала,Планирование товарных запасов,Контроль остатков,Товарно-транспортная накладная,Оформление торгового зала,Учет остатков,Знание кассовой дисциплины,Работа с планограммой,Организаторские навыки,Ротация товара,Оприходование товара,Товарная накладная,Материаловедение,Заказ товара,1С: Розница,Оптимизация товарных запасов,Контроль сотрудников,Организация и контроль работы персонала,Наличные средства,Учет ТМЦ,Кассовые чеки,Оформление товарно-сопроводительных документов",2026-02-09T17:34:35+0300,https://hh.ru/vacancy/130297390,материаловедение
130296959,Инженер-технолог по пластмассовому производству,,,,noExperience,fullDay,full,Курск,Курский электроаппаратный завод,Технолог,,2026-02-09T17:22:45+0300,https://hh.ru/vacancy/130296959,материаловедение
129423755,Специалист по ИТС в Департамент продаж,45000,65000,RUR,between1And3,fullDay,full,Миасс,LORENA - кухни,Другое,"Сбор и анализ информации,Умение работать в коллективе,Точность и внимательность к деталям",2026-02-09T14:53:37+0300,https://hh.ru/vacancy/129423755,материаловедение
129712081,Инженер-конструктор,127400,127400,RUR,between3And6,fullDay,full,Таганрог,Полимерпром,"Инженер-конструктор, инженер-проектировщик","Чтение чертежей,Чтение проектной документации,Разработка технических заданий",2026-02-08T14:12:39+0300,https://hh.ru/vacancy/129712081,материаловедение
129352473,Инженер-конструктор,76000,76000,RUR,between3And6,fullDay,full,Ростов Великий,Ярославский завод парафино-восковой продукции,"Инженер-конструктор, инженер-проектировщик","Контроль сроков годности,Пользователь ПК,MS PowerPoint,Чтение чертежей",2026-02-09T10:20:19+0300,https://hh.ru/vacancy/129352473,материаловедение
130248206,Лаборант по физико-механическим испытаниям (4-5 разряды),80000,100000,RUR,between1And3,fullDay,full,Санкт-Петербург,Невский инструментальный завод,Лаборант,,2026-02-09T16:05:31+0300,https://hh.ru/vacancy/130248206,материаловедение
130270979,Инженер-технолог,85000,85000,RUR,between1And3,fullDay,full,Хотьково (Московская область),Электроизолит,Технолог,"Высшее образование,Работа в условиях многозадачности,Умение работать в условиях многозадачности,Лояльность,Образованность",2026-02-09T09:41:47+0300,https://hh.ru/vacancy/130270979,материаловедение
129300271,Инженер по качеству,,,,between1And3,fullDay,full,Санкт-Петербург,METEOR Lift,Инженер по качеству,,2026-02-09T15:38:33+0300,https://hh.ru/vacancy/129300271,материаловедение
128120378,Технолог по порошковой окраске,90000,,RUR,between1And3,fullDay,full,Симферополь,Камоцци Пневматика,Технолог,,2026-02-09T16:35:53+0300,https://hh.ru/vacancy/128120378,материаловедение
129400366,Начальник металлографической лаборатории,,,,between3And6,fullDay,full,Санкт-Петербург,"Силовые машины, Акционерное общество",Лаборант,,2026-02-09T14:36:17+0300,https://hh.ru/vacancy/129400366,материаловедение
127186095,Инженер по сварке,80000,120000,RUR,between1And3,fullDay,full,Нижний Тагил,"Машпром, НПП",Технолог,"Аналитический склад ума,Ответственность,Коммуникабельность,Работа в команде,Навык сварки экспериментальными методами,Проверка исправности сварочного оборудования,Научная деятельность,Технологии машиностроения и приборостроения,Автоматизация процессов,Управление испытательной лабораторией,Организация производственной линии,Организаторские навыки,Сварочные работы,Чтение чертежей,Настройка параметров работы сварочного оборудования",2026-02-09T10:10:14+0300,https://hh.ru/vacancy/127186095,материаловедение
129774662,Менеджер по продажам,90000,,RUR,between3And6,fullDay,full,Самара,Р-Сталь,"Менеджер по продажам, менеджер по работе с клиентами","CRM,Корпоративные продажи,Развитие продаж,Холодные продажи,Активные продажи",2026-02-09T21:58:15+0300,https://hh.ru/vacancy/129774662,материаловедение
129758070,Технолог швейного производства,62500,100000,RUR,between1And3,fullDay,full,Курск,Бел-Поль,Технолог,Знание технологических процессов,2026-02-09T13:55:06+0300,https://hh.ru/vacancy/129758070,материаловедение
125533456,Ассистент менеджера по продажам лабораторного оборудования (сервисные услуги),97000,115000,RUR,noExperience,fullDay,full,Москва,МИЛЛАБ,"Сервисный инженер, инженер-механик","Деловое общение,Консультирование клиентов,Сопровождение клиентов,Составление отчетов,1С: Документооборот,Телефонные переговоры,Деловая переписка",2026-02-09T15:47:23+0300,https://hh.ru/vacancy/125533456,материаловедение
120012130,Ассистент менеджера по продажам (лабораторное и испытательное оборудование),97700,143000,RUR,between1And3,fullDay,full,Москва,МИЛЛАБ,"Менеджер по продажам, менеджер по работе с клиентами","Английский язык,Химические методы анализа,Ведение переговоров,Проведение презентаций,Деловая переписка,химик-синтетик,органическая химия,химик-технолог,органический синтез,оборудование для химического синтеза",2026-02-09T15:47:15+0300,https://hh.ru/vacancy/120012130,материаловедение
129336481,Инженер-конструктор БПЛА,150000,170000,RUR,between1And3,fullDay,full,Москва,Ирбис Скай Тех,"Инженер-конструктор, инженер-проектировщик","ЕСКД,SolidWorks,Разработка проектной документации,Анализ конкурентной среды,Компас-3D,Проектно-конструкторская деятельность,Разработка технической документации",2026-02-09T09:37:57+0300,https://hh.ru/vacancy/129336481,материаловедение
129370296,Инженер-конструктор РЭА,,170000,RUR,between3And6,fullDay,full,Москва,ВиКонт,"Инженер-конструктор, инженер-проектировщик",,2026-02-09T15:18:58+0300,https://hh.ru/vacancy/129370296,материаловедение
